"año","trimestre","d_licenciatura_PH","dl_hombres_PH","dl_mujeres_PH","d_licenciatura_D","dl_hombres_D","dl_mujeres_D","d_posgrado","dp_hombres","dp_mujeres"
2021,1,618,314,304,257,110,147,56,15,41
2022,1,451,252,199,303,126,177,35,9,26
2022,2,451,256,195,303,126,177,144,36,78
2022,3,480,267,213,303,161,228,78,29,55
2022,4,480,267,213,389,161,228,77,28,49
2023,1,468,254,214,387,161,226,77,35,42
2023,2,488,260,226,378,166,212,77,35,42
2023,3,566,295,271,510,223,287,104,40,64
2023,4,593,320,273,504,204,300,81,32,49
2024,1,581,315,266,504,216,288,43,13,30
2024,2,565,297,268,504,218,286,108,44,64
2024,3,657,356,301,481,208,273,108,44,64
2024,4,659,356,303,482,209,273,110,45,65
2025,1,1196,593,603,0,0,0,106,50,56
2025,2,768,408,360,568,233,335,106,50,56
2021,1,618,314,304,257,110,147,56,15,41
2022,1,451,252,199,303,126,177,35,9,26
2022,2,451,256,195,303,126,177,144,36,78
2022,3,480,267,213,303,161,228,78,29,55
2022,4,480,267,213,389,161,228,77,28,49
2023,1,468,254,214,387,161,226,77,35,42
2023,2,488,260,226,378,166,212,77,35,42
2023,3,566,295,271,510,223,287,104,40,64
2023,4,593,320,273,504,204,300,81,32,49
2024,1,581,315,266,504,216,288,43,13,30
2024,2,565,297,268,504,218,286,108,44,64
2024,3,657,356,301,481,208,273,108,44,64
2024,4,659,356,303,482,209,273,110,45,65
2025,1,1196,593,603,0,0,0,106,50,56
2025,2,768,408,360,568,233,335,106,50,56
2021,1,618,314,304,257,110,147,56,15,41
2022,1,451,252,199,303,126,177,35,9,26
2022,2,451,256,195,303,126,177,144,36,78
2022,3,480,267,213,303,161,228,78,29,55
2022,4,480,267,213,389,161,228,77,28,49
2023,1,468,254,214,387,161,226,77,35,42
2023,2,488,260,226,378,166,212,77,35,42
2023,3,566,295,271,510,223,287,104,40,64
2023,4,593,320,273,504,204,300,81,32,49
2024,1,581,315,266,504,216,288,43,13,30
2024,2,565,297,268,504,218,286,108,44,64
2024,3,657,356,301,481,208,273,108,44,64
2024,4,659,356,303,482,209,273,110,45,65
2025,1,1196,593,603,0,0,0,106,50,56
2025,2,768,408,360,568,233,335,106,50,56
2021,1,618,314,304,257,110,147,56,15,41
2022,1,451,252,199,303,126,177,35,9,26
2022,2,451,256,195,303,126,177,144,36,78
2022,3,480,267,213,303,161,228,78,29,55
2022,4,480,267,213,389,161,228,77,28,49
2023,1,468,254,214,387,161,226,77,35,42
2023,2,488,260,226,378,166,212,77,35,42
2023,3,566,295,271,510,223,287,104,40,64
2023,4,593,320,273,504,204,300,81,32,49
2024,1,581,315,266,504,216,288,43,13,30
2024,2,565,297,268,504,218,286,108,44,64
2024,3,657,356,301,481,208,273,108,44,64
2024,4,659,356,303,482,209,273,110,45,65
2025,1,1196,593,603,0,0,0,106,50,56
2025,2,768,408,360,568,233,335,106,50,56
