"año","trimestre","egresados","egresadosL","egresados_Lhombres","egresados_Lmujeres","e_licenciaturaPH","e_LPHhombres","e_LPHmujeres","e_licenciaturaD","e_LDhombres","e_LDmujeres"
2021,1,160,160,57,103,0,0,0,0,0,0
2021,2,160,160,57,103,0,0,0,0,0,0
2021,3,160,160,57,103,0,0,0,0,0,0
2021,4,160,160,57,103,0,0,0,0,0,0
2022,1,399,0,0,0,202,69,133,47,16,31
2022,2,399,0,0,0,202,69,133,47,16,31
2022,3,499,0,0,0,202,69,133,47,16,31
2022,4,499,0,0,0,202,69,133,47,16,31
2023,1,546,0,0,0,202,69,133,47,16,31
2023,2,3052,2781,974,1807,2574,883,1691,166,75,91
2023,3,3052,2781,974,1807,2574,883,1691,166,75,91
2023,4,3052,2781,974,1807,2574,883,1691,166,75,91
2024,1,3457,3160,1118,2042,2814,966,1848,305,136,169
2024,2,5572,5005,1739,3266,4462,1510,2952,490,211,279
2024,3,5572,5005,1739,3266,4462,1510,2952,490,211,279
2024,4,5572,5005,1739,3266,4462,1510,2952,490,211,279
2025,1,7308,6741,2254,4487,0,0,0,0,0,0
2025,2,7308,6741,2254,4487,0,0,0,0,0,0
